Broj;Min;Vrsta;Klub;Igrač;Zamjena
10;44;10;I;Antonio Perera Calderon;
10;46;20;R;Andrija Vukčević;Jorge Leonardo Obregon Rojas
10;66;20;R;Robert Mudražija;Ivan Lepinjica
10;67;20;I;Miroslav Iličić;Dion Drena Beljo
10;76;20;I;Damjan Daničić;Luka Marin
10;78;1;R;Josip Drmić;
10;81;10;R;Jorge Leonardo Obregon Rojas;
10;82;1;R;Josip Drmić;
10;85;20;I;Antonio Perera Calderon;Antonio Siljan
10;85;20;I;Frano Mlinar;Robert Mišković
10;90+3;20;R;Josip Drmić;Niko Galešić
10;90+5;10;I;Antonio Siljan;
10;90+5;99;;;
