Klub;Igrač;Pozicije;Rođen
O;Amer Hiroš;V;10.06.1996.
O;Ivica Ivušić;G;01.02.1995.
O;Vedran Jugović;V;31.07.1989.
O;Mario Jurčević;B;01.06.1995.
O;Laszlo Kleinheisler;V;08.04.1994.
O;Danijel Lončar;B;26.06.1997.
O;Marko Malenica;G;08.02.1994.
O;Antonio Mance;N;07.08.1995.
O;Ramon Nazareno MIEREZ;N;13.05.1997.
O;Mato Miloš;B;30.06.1993.
O;Merveil Valthy Streeker NDOCKYT;V;20.07.1998.
O;Darko Nejašmić;V;25.01.1999.
O;Marin Pilj;V;03.12.1996.
O;Mile Škorić;B;19.06.1991.
O;Mihret Topčagić;N;21.06.1988.
O;Mihael Žaper;V;11.08.1998.
HD;Domagoj Babin;V;03.06.2000.
HD;Ricardo Bagadur;B;16.09.1995.
HD;Jakov Bašić;CB;21.11.1996.
HD;Marko Bašić;V;21.07.1999.
HD;Fran Beloša Fijan;V;17.11.2002.
HD;Mateo Brodaric;G;09.08.2002.
HD;Marko Ćosić;B;02.03.1994.
HD;Leon-Habib Ernst;V;23.05.2000.
HD;Martin Franić;B;12.01.1997.
HD;Tin Hrvoj;B;06.06.2001.
HD;Dominik Ivkič;B;31.07.1997.
HD;Filip Jazvić;V;22.10.1990.
HD;Bruno Karoglan;V;25.06.1997.
HD;Andrej Lukić;B;02.04.1994.
HD;Valentino Majstorović;V;11.11.1995.
HD;Ivan Mamić;V;09.11.2000.
HD;Petar Mamić;B;06.03.1996.
HD;Mario Marić;G;25.05.1999.
HD;Danovis Martinez Caliz;DV;07.02.2000.
HD;Benedik Mioč;V;06.10.1994.
HD;Nue Nreca;B;25.06.2001.
HD;Luka Pasariček;V;12'03.1998.
HD;Karlo Perić;N;14.02.2001.
HD;Vinko Petković;N;01.10.1995.
HD;Ivan Roca;V;21.05.1996.
HD;Martin Sekulić;N;04.01.1999.
HD;Ivan Skansi;N;29.02.1999.
HD;Dino Skorup;V;04.10.1999.
HD;Tomislav Štrkalj;N;02.08.1996.
HD;Zvonimir Šubarić;G;25.05.1997.
HD;Tonio Teklić;N;09.07.1999.
HD;Tomislav Turčin;N;31.05.1997.
HD;Petar Turković;V;05.06.1997.
HD;Tomislav Valentić;B;04.07.1994.
HD;Stjepan Vego;B;09.07.1997.
HD;Mario Veljača;N;02.05.2002.
HD;Luka Viduka;N;21.05.2000.
HD;Vilibald Vuco;V;16.07.1996.
HD;Stipe Vulikić;B;21.01.2001.
HD;Patrice Zoungrana;V;02.12.1994.
I;Boureima Hassane Bande;N;30.10.1998.
I;Dion Drena Beljo;N;01.03.2002.
I;Slavko Blagojević;V;21.03.1987.
I;Toni Burić;V;29.11.2000.
I;Robert Lee Burton;V;26.10.1999.
I;Gonzalo Collao;G;09.09.1997.
I;Damjan Daničić;B;24.01.2000.
I;Gonzalo Desio Mugica;V;15.08.1999.
I;Branko Đukić;V;02.02.2000.
I;Joao Pedro Eira Antunes Da Silva;B;14.01.1999.
I;Einar Galilea Azaceta;B;22.05.1995.
I;Luka Hujber;B;16.01.1999.
I;Miroslav Iličić;N;17.04.1998.
I;Antonio Ivančić;V;25.05.1995.
I;Lovro Jurić;G;01.09.1996.
I;Davi Legovic;B;20.03.2002.
I;Mateo Lisica;N;09.07.2003.
I;Ivan Lučić;G;23.03.1995.
I;Abdallahi Mahmoud;V;04.05.2000.
I;Luka Marin;B;16.03.1998.
I;Bernardo Matić;B;27.01.1994.
I;Lovro Majkić;G;08.10.1999.
I;Robert Mišković;V;20.10.1999.
I;Frano Mlinar;V;30.03.1992.
I;Rafael Jesus Navarro Mazuecos;B;23.02.1994.
I;Erhun Obanor;B;05.09.1995.
I;Antonio Perera Calderon;V;08.06.1997.
I;Mauro Perković;B;22.03.2003.
I;Serder Serderov;N;10.03.1994.
I;Joao Silva;B;14.01.1999.
I;Mateo Tomić;V;19.05.2003.
Š;Christopher Attys;V;13.03.2001.
Š;Stipe Bačelić Grgić;V;16.02.1998.
Š;Ignacio Daniel Bailone;N;20.01.1994.
Š;Ivica Batarelo;B;12.05.1998.
Š;Yordy Andrey Bedoya Quintero;;
Š;Adam Benić;V;28.04.2000.
Š;Karlo Bilić;B;06.09.1993.
Š;Alexander Zoran Cvetković;N;29.11.1996.
Š;Mario Ćurić;V;28.09.1998.
Š;Cole Dasilva;B;11.05.1999.
Š;Ivan Delić;N;29.09.1998.
Š;Antonio Đaković;G;12.01.2001.
Š;Doni Grdić;B;22.01.2002.
Š;Antonio Jakoliš;V;21.01.2001.
Š;Marin Jakoliš;N;24.05.1996.
Š;Sandesh Jhingan;B;21.07.1993.
Š;Edin Julardžija;V;21.01.2001.
Š;Deni Jurić;CV;03.07.1997.
Š;Josip Kvesić;B;21.09.1990.
Š;Jose Alejandro Lopez Mejia;V;14.08.2002.
Š;Antonio Marin;N;09.01.2001.
Š;Christian Mena;V;21.05.2000.
Š;Juan Camilo Mesa Antunez;B;23.02.1998.
Š;Marcos David Mina Lucumi;B;12.04.1999.
Š;Ivan Močinić;V;30.04.1993.
Š;Boris Pandža;B;15.12.1986.
Š;Stefan Perić;B;13.02.1997.
Š;Niko Rak;V;26.07.2003.
Š;Lovre Rogić;G;27.08.1995.
Š;Suad Sahiti;V;06.02.1995.
Š;Carlos Eduardo Torres Gongora;;
L;Ibrahim Aliyu;V;16.02.2002.
L;Gabriele Artistico;N;14.07.2002.
L;Theo Barbet;B;06.03.2001.
L;Luka Basar;B;14.01.2000.
L;Branimir Cipetić;B;24.05.1995.
L;Enis Cokaj;V;23.02.1999.
L;Ivan Čeliković;LB;10.04.1989.
L;Marko Dabro;N;28.03.1997.
L;Luka Dajčer ;CV;06.06.2001.
L;Justin de Haas;B;01.02.2000.
L;Krunoslav Hendija;G;19.03.1989.
L;Marko Đira;V;05.05.1999.
L;Raul Alexander Florucz;V;10.06.2001.
L;Silvio Goričan;V;27.02.2000.
L;Irfan Hadžić;N;05.01.1993.
L;Arbër Hoxha;N;06.10.1998.
L;Kim Jeing Hyun;N;09.06.2000.
L;Aliyu Ibrahim;V;16.01.2002.
L;Lukas Kačavenda;V;02.03.2003.
L;Sandro Kulenović;N;04.10.1999.
L;Mate Maleš;V;13.01.1989.
L;Mateo Marić;V;18.03.1998.
L;Stipo Marković;B;03.12.1993.
L;Albion Marku;;
L;Luka Matasović;G;16.06.2002.
L;Arber Mehmetllari;N;19.04.2000.
L;Jon Mersinaj;B;08.02.1999.
L;Ivan Milićević;B;16.07.1998.
L;Mario Musa;B;06.07.1990.
L;Ivan Nevistić;G;31.07.1998.
L;Kemal Osmanković;B;04.03.1997.
L;Oliver Petrak;V;06.02.1991.
L;Josip Pivarić;B;30.01.1989.
