Broj;Klub;Vrsta;Igrač;Pozicija
5;O;S;Marin Pilj;V
5;O;S;Mihael Žaper;V
5;O;P;Alen Grgić;DB
5;Š;S;Stipe Bačelić Grgić;V
5;Š;P;Ignacio Daniel Bailone;N
5;Š;S;Ivica Batarelo;B
5;Š;P;Adam Benić;V
5;Š;S;Karlo Bilić;B
5;Š;S;Mario Ćurić;V
5;Š;P;Ivan Delić;N
5;Š;P;Antonio Đaković;G
5;Š;P;Doni Grdić;B
5;Š;P;Edin Julardžija;V
5;Š;S;Josip Kvesić;B
5;Š;P;Jose Alejandro Lopez Mejia;V
5;Š;S;Antonio Marin;N
5;Š;P;Christian Mena;V
5;Š;S;Juan Camilo Mesa Antunez;B
5;Š;S;Stefan Perić;B
5;Š;P;Niko Rak;V
5;Š;S;Lovre Rogić;G
5;Š;S;Suad Sahiti;V
5;Š;S;Deni Jurić;CV
6;G;S;Hrvoje Babec;V
6;G;S;Ivan Banić;G
6;G;P;Fran Brodić;N
6;G;P;Younes Delfi;N
6;G;S;Matar Dieye;N
6;G;P;Matija Dvorneković;N
6;G;P;Toni Fruk;V
6;G;P;Niko Janković;V
6;G;S;Aleksandar Jovičić;B
6;G;S;Cheick KEITA;B
6;G;P;Dominik Kotarski;G
6;G;S;Krešimir Krizmanić;B
6;G;S;Kristijan Lovrić;N
6;G;P;Saša Marjanović;B
6;G;S;Serge-Junior Bertil Nicolas Martinsson Ngouali;V
6;G;S;Josip Mitrović;N
6;G;S;Musa Muhammed;G
6;G;P;Jurica Pršir;V
6;G;P;Matthew Rudolf Maria Steenvoorden;B
6;G;S;Martin Šroler;N
6;Š;S;Stipe Bačelić Grgić;V
6;Š;P;Ignacio Daniel Bailone;N
6;Š;S;Ivica Batarelo;B
6;Š;P;Adam Benić;V
6;Š;S;Karlo Bilić;B
6;Š;S;Mario Ćurić;V
6;Š;S;Ivan Delić;N
6;Š;P;Antonio Đaković;G
6;Š;P;Doni Grdić;B
6;Š;P;Marin Jakoliš;N
6;Š;P;Edin Julardžija;V
6;Š;S;Josip Kvesić;B
6;Š;P;Jose Alejandro Lopez Mejia;V
6;Š;S;Antonio Marin;N
6;Š;P;Christian Mena;V
6;Š;S;Juan Camilo Mesa Antunez;B
6;Š;S;Stefan Perić;B
6;Š;S;Lovre Rogić;G
6;Š;P;Suad Sahiti;V
6;Š;S;Deni Jurić;CV
7;H;P;Jani Atanasov;V
7;H;S;David Čolina;B
7;H;P;Mario Čuić;V
7;H;P;Jairo De Macedo Da Silva;N
7;H;P;Lumbardh Dellova;B
7;H;P;Dimitrios Diamantakos;N
7;H;P;Kristian Traychev Dimitrov;B
7;H;P;Ivan Dolček;B
7;H;P;Samuel Emem Eduok;N
7;H;S;Lovre Kalinić;G
7;H;S;Filip Krovinović;V
7;H;S;Marko Livaja;N
7;H;S;Gergő Lovrencsics;B
7;H;S;Marin Ljubičić;N
7;H;S;Jan Mlakar;N
7;H;P;Josip Posavec;G
7;H;S;Emir Sahiti;V
7;H;S;Stefan Simić;B
7;H;S;Josip Vuković;V
7;H;S;Mario Vušković;B
7;O;P;Petar Bočkaj;V
7;O;S;Damjan Bohar;N
7;O;P;Slavko Bralić;B
7;O;P;Yevhen Cheberko;B
7;O;S;Šime Gržan;N
7;O;P;Amer Hiroš;V
7;O;S;Ivica Ivušić;G
7;O;P;Vedran Jugović;V
7;O;S;Mario Jurčević;B
7;O;S;Laszlo Kleinheisler;V
7;O;S;Danijel Lončar;B
7;O;P;Marko Malenica;G
7;O;P;Antonio Mance;N
7;O;S;Ramon Nazareno MIEREZ;N
7;O;S;Mato Miloš;B
7;O;P;Merveil Valthy Streeker NDOCKYT;V
7;O;S;Darko Nejašmić;V
7;O;P;Marin Pilj;V
7;O;S;Mile Škorić;B
7;O;S;Mihael Žaper;V
8;SP;S;Ivan Čović;G
